car_ID,symboling,CarMake,fueltype,doornumber,carbody,drivewheel,enginelocation,carlength,carwidth,carh8,cylindernumber,enginesize,horsepower,peakrpm,citympg,highwaympg,price
1,3,26,0,2,0,1,0,168.8,64.1,48.8,4,130,111,5000,21,27,13495
2,3,26,0,2,0,1,0,168.8,64.1,48.8,4,130,111,5000,21,27,16500
3,1,26,0,2,1,1,0,171.2,65.5,52.4,6,152,154,5000,19,26,16500
4,2,27,0,4,2,0,0,176.6,66.2,54.3,4,109,102,5500,24,30,13950
5,2,27,0,4,2,2,0,176.6,66.4,54.3,5,136,115,5500,18,22,17450
6,2,27,0,2,2,0,0,177.3,66.3,53.1,5,136,110,5500,19,25,15250
7,1,27,0,4,2,0,0,192.7,71.4,55.7,5,136,110,5500,19,25,17710
8,1,27,0,4,3,0,0,192.7,71.4,55.7,5,136,110,5500,19,25,18920
9,1,27,0,4,2,0,0,192.7,71.4,55.9,5,131,140,5500,17,20,23875
10,0,27,0,2,1,2,0,178.2,67.9,52,5,131,160,5500,16,22,17859.167
11,2,29,0,2,2,1,0,176.8,64.8,54.3,4,108,101,5800,23,29,16430
12,0,29,0,4,2,1,0,176.8,64.8,54.3,4,108,101,5800,23,29,16925
13,0,29,0,2,2,1,0,176.8,64.8,54.3,6,164,121,4250,21,28,20970
14,0,29,0,4,2,1,0,176.8,64.8,54.3,6,164,121,4250,21,28,21105
15,1,29,0,4,2,1,0,189,66.9,55.7,6,164,121,4250,20,25,24565
16,0,29,0,4,2,1,0,189,66.9,55.7,6,209,182,5400,16,22,30760
17,0,29,0,2,2,1,0,193.8,67.9,53.7,6,209,182,5400,16,22,41315
18,0,29,0,4,2,1,0,197,70.9,56.3,6,209,182,5400,15,20,36880
19,2,14,0,2,1,0,0,141.1,60.3,53.2,3,61,48,5100,47,53,5151
20,1,14,0,2,1,0,0,155.9,63.6,52,4,90,70,5400,38,43,6295
21,0,14,0,4,2,0,0,158.8,63.6,52,4,90,70,5400,38,43,6575
22,1,18,0,2,1,0,0,157.3,63.8,50.8,4,90,68,5500,37,41,5572
23,1,18,0,2,1,0,0,157.3,63.8,50.8,4,90,68,5500,31,38,6377
24,1,18,0,2,1,0,0,157.3,63.8,50.8,4,98,102,5500,24,30,7957
25,1,18,0,4,1,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,6229
26,1,18,0,4,2,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,6692
27,1,18,0,4,2,0,0,157.3,63.8,50.6,4,90,68,5500,31,38,7609
28,1,18,0,2,2,0,0,157.3,63.8,50.6,4,98,102,5500,24,30,8558
29,-1,18,0,4,3,0,0,174.6,64.6,59.8,4,122,88,5000,24,30,8921
30,3,18,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,12964
31,2,7,0,2,1,0,0,144.6,63.9,50.8,4,92,58,4800,49,54,6479
32,2,7,0,2,1,0,0,144.6,63.9,50.8,4,92,76,6000,31,38,6855
33,1,7,0,2,1,0,0,150,64,52.6,4,79,60,5500,38,42,5399
34,1,7,0,2,1,0,0,150,64,52.6,4,92,76,6000,30,34,6529
35,1,7,0,2,1,0,0,150,64,52.6,4,92,76,6000,30,34,7129
36,0,7,0,4,2,0,0,163.4,64,54.5,4,92,76,6000,30,34,7295
37,0,7,0,4,3,0,0,157.1,63.9,58.3,4,92,76,6000,30,34,7295
38,0,7,0,2,1,0,0,167.5,65.2,53.3,4,110,86,5800,27,33,7895
39,0,7,0,2,1,0,0,167.5,65.2,53.3,4,110,86,5800,27,33,9095
40,0,7,0,4,2,0,0,175.4,65.2,54.1,4,110,86,5800,27,33,8845
41,0,7,0,4,2,0,0,175.4,62.5,54.1,4,110,86,5800,27,33,10295
42,0,7,0,4,2,0,0,175.4,65.2,54.1,4,110,101,5800,24,28,12945
43,1,7,0,2,2,0,0,169.1,66,51,4,110,100,5500,25,31,10345
44,0,19,0,4,2,1,0,170.7,61.8,53.5,4,111,78,4800,24,29,6785
45,1,19,0,2,2,0,0,155.9,63.6,52,4,90,70,5400,38,43,8916.5
46,0,19,0,4,2,0,0,155.9,63.6,52,4,90,70,5400,38,43,8916.5
47,2,19,0,2,1,1,0,172.6,65.2,51.4,4,119,90,5000,24,29,11048
48,0,28,0,4,2,1,0,199.6,69.6,52.8,6,258,176,4750,15,19,32250
49,0,28,0,4,2,1,0,199.6,69.6,52.8,6,258,176,4750,15,19,35550
50,0,28,0,2,2,1,0,191.7,70.6,47.8,12,326,262,5000,13,17,36000
51,1,4,0,2,1,0,0,159.1,64.2,54.1,4,91,68,5000,30,31,5195
52,1,4,0,2,1,0,0,159.1,64.2,54.1,4,91,68,5000,31,38,6095
53,1,4,0,2,1,0,0,159.1,64.2,54.1,4,91,68,5000,31,38,6795
54,1,4,0,4,2,0,0,166.8,64.2,54.1,4,91,68,5000,31,38,6695
55,1,4,0,4,2,0,0,166.8,64.2,54.1,4,91,68,5000,31,38,7395
56,3,4,0,2,1,1,0,169,65.7,49.6,2,70,101,6000,17,23,10945
57,3,4,0,2,1,1,0,169,65.7,49.6,2,70,101,6000,17,23,11845
58,3,4,0,2,1,1,0,169,65.7,49.6,2,70,101,6000,17,23,13645
59,3,4,0,2,1,1,0,169,65.7,49.6,2,80,135,6000,16,23,15645
60,1,4,0,2,1,0,0,177.8,66.5,53.7,4,122,84,4800,26,32,8845
61,0,4,0,4,2,0,0,177.8,66.5,55.5,4,122,84,4800,26,32,8495
62,1,4,0,2,1,0,0,177.8,66.5,53.7,4,122,84,4800,26,32,10595
63,0,4,0,4,2,0,0,177.8,66.5,55.5,4,122,84,4800,26,32,10245
64,0,4,1,4,2,0,0,177.8,66.5,55.5,4,122,64,4650,36,42,10795
65,0,4,0,4,1,0,0,177.8,66.5,55.5,4,122,84,4800,26,32,11245
66,0,4,0,4,2,1,0,175,66.1,54.4,4,140,120,5000,19,27,18280
67,0,4,1,4,2,1,0,175,66.1,54.4,4,134,72,4200,31,39,18344
68,-1,12,1,4,2,1,0,190.9,70.3,56.5,5,183,123,4350,22,25,25552
69,-1,12,1,4,3,1,0,190.9,70.3,58.7,5,183,123,4350,22,25,28248
70,0,12,1,2,4,1,0,187.5,70.3,54.9,5,183,123,4350,22,25,28176
71,-1,12,1,4,2,1,0,202.6,71.7,56.3,5,183,123,4350,22,25,31600
72,-1,12,0,4,2,1,0,202.6,71.7,56.5,8,234,155,4750,16,18,34184
73,3,12,0,2,0,1,0,180.3,70.5,50.8,8,234,155,4750,16,18,35056
74,0,12,0,4,2,1,0,208.1,71.7,56.7,8,308,184,4500,14,16,40960
75,1,12,0,2,4,1,0,199.2,72,55.4,8,304,184,4500,14,16,45400
76,1,5,0,2,1,1,0,178.4,68,54.8,4,140,175,5000,19,24,16503
77,2,1,0,2,1,0,0,157.3,64.4,50.8,4,92,68,5500,37,41,5389
78,2,1,0,2,1,0,0,157.3,64.4,50.8,4,92,68,5500,31,38,6189
79,2,1,0,2,1,0,0,157.3,64.4,50.8,4,92,68,5500,31,38,6669
80,1,1,0,2,1,0,0,157.3,63.8,50.8,4,98,102,5500,24,30,7689
81,3,1,0,2,1,0,0,173,65.4,49.4,4,110,116,5500,23,30,9959
82,3,1,0,2,1,0,0,173,65.4,49.4,4,122,88,5000,25,32,8499
83,3,1,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,12629
84,3,1,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,14869
85,3,1,0,2,1,0,0,173.2,66.3,50.2,4,156,145,5000,19,24,14489
86,1,1,0,4,2,0,0,172.4,65.4,51.6,4,122,88,5000,25,32,6989
87,1,1,0,4,2,0,0,172.4,65.4,51.6,4,122,88,5000,25,32,8189
88,1,1,0,4,2,0,0,172.4,65.4,51.6,4,110,116,5500,23,30,9279
89,-1,1,0,4,2,0,0,172.4,65.4,51.6,4,110,116,5500,23,30,9279
90,1,15,0,2,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,5499
91,1,15,1,2,2,0,0,165.3,63.8,54.5,4,103,55,4800,45,50,7099
92,1,15,0,2,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,6649
93,1,15,0,4,2,0,0,165.3,63.8,54.5,4,97,69,5200,31,37,6849
94,1,15,0,4,3,0,0,170.2,63.8,53.5,4,97,69,5200,31,37,7349
